Features extracted and tracked: 203

[576, 62;
 577, 64;
 557, 66;
 583, 87;
 600, 94;
 773, 94;
 661, 97;
 923, 101;
 771, 103;
 848, 103;
 774, 106;
 847, 107;
 620, 111;
 606, 112;
 683, 112;
 736, 112;
 881, 112;
 623, 113;
 719, 113;
 793, 113;
 627, 114;
 810, 114;
 606, 115;
 636, 115;
 790, 115;
 644, 116;
 681, 116;
 734, 116;
 773, 116;
 810, 116;
 644, 118;
 719, 121;
 639, 122;
 714, 123;
 768, 123;
 757, 135;
 790, 136;
 792, 136;
 902, 137;
 864, 148;
 789, 149;
 790, 151;
 677, 156;
 827, 162;
 428, 166;
 425, 168;
 433, 168;
 430, 169;
 395, 170;
 527, 170;
 433, 171;
 450, 171;
 676, 171;
 435, 172;
 527, 172;
 394, 173;
 396, 173;
 425, 174;
 531, 178;
 605, 179;
 606, 182;
 607, 184;
 584, 192;
 605, 195;
 573, 200;
 576, 200;
 383, 203;
 579, 208;
 578, 216;
 645, 216;
 369, 227;
 372, 227;
 258, 234;
 258, 238;
 260, 239;
 266, 246;
 251, 249;
 264, 252;
 391, 273;
 608, 287;
 263, 292;
 288, 292;
 715, 295;
 750, 303;
 900, 307;
 921, 307;
 256, 308;
 415, 308;
 418, 310;
 328, 311;
 256, 313;
 350, 313;
 417, 313;
 677, 315;
 785, 315;
 640, 316;
 927, 318;
 417, 319;
 750, 320;
 857, 320;
 351, 324;
 352, 326;
 378, 327;
 380, 328;
 383, 329;
 640, 332;
 677, 332;
 712, 332;
 747, 333;
 713, 334;
 824, 334;
 856, 334;
 715, 335;
 744, 335;
 752, 335;
 788, 335;
 852, 335;
 854, 335;
 860, 335;
 607, 336;
 637, 336;
 667, 336;
 680, 336;
 708, 336;
 710, 336;
 749, 336;
 785, 336;
 856, 336;
 674, 337;
 677, 337;
 713, 337;
 638, 338;
 679, 338;
 781, 338;
 856, 338;
 643, 339;
 749, 339;
 784, 339;
 871, 339;
 781, 340;
 677, 341;
 606, 342;
 282, 359;
 889, 363;
 271, 376;
 915, 391;
 915, 396;
 921, 401;
 344, 408;
 871, 412;
 914, 416;
 917, 416;
 919, 416;
 916, 420;
 918, 420;
 274, 427;
 276, 428;
 1051, 448;
 538, 450;
 1051, 452;
 1054, 453;
 1047, 455;
 1052, 456;
 1052, 459;
 1050, 461;
 1051, 466;
 1053, 466;
 1055, 466;
 1051, 472;
 1055, 472;
 1051, 477;
 495, 520;
 637, 542;
 59, 549;
 54, 550;
 636, 550;
 52, 551;
 476, 552;
 641, 552;
 201, 572;
 654, 576;
 567, 593;
 680, 601;
 439, 637;
 35, 639;
 596, 650;
 412, 652;
 663, 655;
 1020, 655;
 571, 657;
 350, 665;
 751, 666;
 636, 676;
 311, 680;
 488, 684;
 584, 688;
 352, 691;
 335, 692;
 803, 694;
 308, 695;
 618, 707;
 147, 709;
 484, 709]
