Features extracted and tracked: 815

[866, 11;
 951, 12;
 272, 14;
 796, 14;
 871, 14;
 793, 15;
 859, 15;
 800, 17;
 793, 19;
 866, 19;
 868, 19;
 870, 19;
 809, 20;
 805, 21;
 811, 21;
 816, 22;
 800, 23;
 807, 25;
 811, 25;
 862, 25;
 111, 26;
 868, 26;
 947, 27;
 816, 28;
 816, 30;
 944, 32;
 946, 33;
 940, 35;
 945, 35;
 797, 37;
 940, 39;
 791, 40;
 811, 43;
 813, 44;
 962, 58;
 274, 62;
 962, 63;
 944, 66;
 924, 69;
 926, 69;
 936, 69;
 471, 80;
 862, 93;
 856, 94;
 869, 94;
 875, 94;
 859, 95;
 845, 96;
 862, 96;
 878, 96;
 859, 98;
 863, 98;
 800, 99;
 807, 99;
 847, 99;
 867, 99;
 872, 99;
 928, 99;
 794, 100;
 845, 101;
 865, 101;
 787, 102;
 805, 102;
 877, 103;
 789, 104;
 815, 104;
 928, 104;
 787, 106;
 726, 107;
 719, 108;
 730, 109;
 662, 112;
 777, 112;
 1030, 112;
 564, 113;
 659, 113;
 709, 113;
 711, 113;
 816, 113;
 699, 114;
 696, 115;
 731, 115;
 659, 116;
 956, 116;
 656, 117;
 778, 119;
 564, 120;
 577, 120;
 727, 120;
 956, 120;
 947, 121;
 577, 126;
 942, 126;
 1000, 127;
 1028, 127;
 574, 129;
 962, 130;
 979, 130;
 1000, 130;
 1003, 130;
 568, 131;
 899, 131;
 910, 131;
 571, 132;
 573, 132;
 905, 132;
 980, 132;
 1027, 132;
 603, 133;
 894, 133;
 996, 133;
 1009, 133;
 606, 134;
 613, 134;
 718, 134;
 891, 134;
 1002, 134;
 569, 135;
 1024, 135;
 1018, 136;
 877, 137;
 568, 138;
 594, 138;
 874, 138;
 862, 140;
 593, 143;
 568, 144;
 580, 144;
 854, 145;
 562, 146;
 597, 148;
 576, 149;
 528, 150;
 602, 150;
 735, 150;
 847, 150;
 570, 151;
 573, 151;
 588, 151;
 735, 152;
 808, 152;
 577, 153;
 807, 154;
 573, 155;
 729, 155;
 575, 156;
 703, 157;
 575, 158;
 707, 158;
 602, 159;
 995, 159;
 1092, 159;
 1096, 159;
 1098, 159;
 1108, 159;
 1117, 160;
 544, 161;
 993, 161;
 1108, 161;
 1130, 162;
 549, 163;
 554, 163;
 633, 163;
 722, 163;
 1132, 163;
 552, 164;
 626, 164;
 1130, 164;
 1138, 165;
 574, 166;
 606, 166;
 568, 167;
 581, 167;
 1138, 167;
 494, 168;
 473, 169;
 657, 169;
 455, 170;
 494, 170;
 579, 170;
 334, 171;
 501, 171;
 556, 171;
 615, 171;
 632, 171;
 657, 171;
 682, 171;
 889, 171;
 485, 172;
 611, 172;
 1104, 172;
 365, 173;
 563, 173;
 608, 173;
 636, 173;
 1110, 173;
 433, 174;
 603, 174;
 633, 174;
 586, 175;
 637, 175;
 658, 175;
 660, 175;
 475, 176;
 577, 176;
 600, 176;
 692, 176;
 1100, 176;
 1111, 176;
 1131, 176;
 1135, 176;
 499, 177;
 570, 177;
 604, 177;
 615, 177;
 723, 177;
 1157, 177;
 584, 178;
 645, 178;
 647, 178;
 1136, 178;
 1151, 178;
 1154, 178;
 659, 179;
 663, 179;
 1099, 179;
 1159, 179;
 614, 180;
 1093, 180;
 1122, 180;
 588, 181;
 604, 181;
 610, 181;
 647, 181;
 1127, 181;
 629, 183;
 632, 183;
 714, 183;
 637, 184;
 1096, 184;
 1120, 184;
 627, 185;
 643, 185;
 657, 185;
 653, 186;
 1162, 186;
 632, 187;
 646, 187;
 908, 187;
 1148, 187;
 618, 188;
 650, 188;
 654, 188;
 656, 188;
 659, 188;
 784, 188;
 1164, 188;
 1168, 188;
 601, 189;
 622, 189;
 1151, 189;
 618, 190;
 650, 190;
 1170, 190;
 511, 191;
 647, 191;
 656, 191;
 1168, 191;
 604, 192;
 628, 192;
 637, 192;
 694, 192;
 648, 193;
 1173, 193;
 602, 194;
 609, 194;
 611, 194;
 645, 194;
 650, 194;
 707, 194;
 1176, 194;
 605, 195;
 654, 195;
 675, 195;
 688, 195;
 694, 195;
 732, 195;
 625, 196;
 645, 196;
 1168, 196;
 1177, 196;
 1183, 196;
 620, 197;
 704, 197;
 1186, 197;
 726, 198;
 1103, 198;
 1178, 198;
 1188, 198;
 618, 199;
 638, 199;
 647, 199;
 679, 199;
 703, 199;
 1108, 199;
 1184, 199;
 622, 200;
 635, 200;
 672, 200;
 674, 200;
 699, 200;
 1180, 200;
 1191, 200;
 659, 201;
 1150, 201;
 1155, 201;
 1185, 201;
 568, 202;
 609, 202;
 613, 202;
 674, 202;
 676, 202;
 1112, 202;
 1132, 202;
 1187, 202;
 1193, 202;
 582, 203;
 665, 203;
 1104, 203;
 1130, 203;
 1144, 203;
 1148, 203;
 1181, 203;
 279, 204;
 644, 204;
 660, 204;
 681, 204;
 1116, 204;
 1183, 204;
 1190, 204;
 634, 205;
 711, 205;
 1091, 205;
 1093, 205;
 1106, 205;
 1110, 205;
 1136, 205;
 1134, 206;
