3D points: 203

[31.59597, 3.1816494, -0.65079129, 1;
 31.821583, 3.3128314, -0.64906663, 1;
 32.396664, 3.6357963, -0.64239776, 1;
 34.671581, 4.9803009, -0.62667245, 1;
 35.336441, 5.3574533, -0.6230675, 1;
 32.40604, 3.6600888, -0.65878147, 1;
 34.251381, 4.7297077, -0.63711035, 0.99999994;
 31.604898, 3.1944776, -0.67162669, 1;
 33.287655, 4.1732078, -0.65193921, 1;
 32.447533, 3.6839345, -0.66222286, 1;
 33.590954, 4.3501101, -0.64978939, 1;
 32.800415, 3.8893838, -0.65952313, 0.99999994;
 37.154446, 6.4236326, -0.61053675, 1;
 37.911465, 6.8555918, -0.6030786, 1;
 35.796906, 5.6342025, -0.62671936, 1;
 34.799995, 5.0540137, -0.63821232, 1;
 32.852535, 3.9215558, -0.66064483, 1;
 37.37719, 6.5532866, -0.60905856, 0.99999994;
 35.21489, 5.2955232, -0.63387346, 1;
 34.012039, 4.597815, -0.64763802, 1;
 37.419411, 6.5779133, -0.60911036, 1;
 33.888672, 4.5232077, -0.64948761, 0.99999994;
 38.403599, 7.1419034, -0.59914517, 1;
 37.515774, 6.626637, -0.60919297, 0.99999994;
 34.255512, 4.7396035, -0.64562124, 1;
 37.447578, 6.5872455, -0.61047232, 1;
 36.506458, 6.0446091, -0.62101209, 1;
 35.290695, 5.3396401, -0.6343022, 1;
 34.630672, 4.9553432, -0.64179558, 1;
 34.070408, 4.6315908, -0.64810747, 1;
 37.747219, 6.7615981, -0.60810661, 1;
 36.181179, 5.8579636, -0.62640274, 1;
 38.511658, 7.2062278, -0.60159826, 1;
 36.539185, 6.066339, -0.62327492, 0.99999994;
 35.474995, 5.4468737, -0.63504744, 1;
 37.04562, 6.3606772, -0.62234086, 0.99999994;
 36.481979, 6.0325971, -0.62869477, 1;
 36.44294, 6.0098701, -0.62910944, 1;
 34.780441, 5.0440097, -0.6471625, 0.99999994;
 36.550285, 6.0759687, -0.632164, 1;
 38.477299, 7.1984382, -0.61340636, 1;
 38.709267, 7.3335671, -0.61170334, 1;
 42.5802, 9.5760736, -0.57324219, 1;
 38.408131, 7.1536927, -0.61627495, 1;
 80.883911, 31.782734, -0.20358902, 1;
 84.370857, 33.807461, -0.17189255, 1;
 80.909935, 31.801214, -0.20555849, 1;
 83.243256, 33.155563, -0.18399915, 1;
 107.41518, 47.111237, 0.048040401, 1;
 59.072121, 19.151413, -0.41917536, 1;
 84.124771, 33.670071, -0.17771266, 0.99999994;
 77.387833, 29.763908, -0.242856, 1;
 46.449139, 11.83934, -0.54275858, 1;
 84.342743, 33.798149, -0.17672533, 1;
 59.988457, 19.684591, -0.41161937, 1;
 114.02039, 50.976913, 0.1074679, 1;
 112.75855, 50.214951, 0.094800487, 1;
 91.825752, 38.140869, -0.10699306, 0.99999994;
 62.228985, 20.989216, -0.39403918, 1;
 53.174702, 15.73873, -0.48090288, 1;
 54.046787, 16.246534, -0.47407508, 1;
 54.608402, 16.573601, -0.46973336, 1;
 59.693951, 19.569475, -0.42518377, 1;
 58.801388, 19.014652, -0.43588892, 1;
 65.883812, 23.134142, -0.37310165, 0.99999994;
 65.346962, 22.822021, -0.37804472, 0.99999994;
 391.11731, 211.89064, 2.6005926, 1;
 69.027252, 24.965347, -0.34891528, 1;
 74.052826, 27.891518, -0.30810541, 1;
 62.711857, 21.314735, -0.41093951, 1;
 -306.86914, -193.45493, -3.6892719, 1;
 -343.02991, -214.464, -4.0095997, 1;
 -42.120182, -39.639545, -1.3388641, 1;
 -40.334187, -38.610249, -1.3205786, 1;
 -40.720463, -38.835663, -1.3232988, 1;
 -40.17189, -38.527313, -1.3141558, 1;
 -33.641579, -34.731148, -1.255874, 1;
 -37.144218, -36.778957, -1.2845895, 1;
 -112.16098, -80.412598, -1.9067512, 1;
 145.40276, 69.472588, 0.2559514, 1;
 -26.688854, -30.749214, -1.1788636, 1;
 -32.494076, -34.218456, -1.227284, 1;
 90.55867, 37.534054, -0.20500277, 1;
 86.638199, 35.257698, -0.24099089, 1;
 63.092674, 21.54649, -0.43596521, 0.99999994;
 61.061901, 20.362679, -0.45266858, 1;
 -22.736498, -28.458714, -1.1411959, 1;
 -85.5047, -64.991722, -1.6562974, 1;
 -85.809105, -65.170563, -1.6574718, 1;
 -38.433239, -37.587673, -1.2687591, 1;
 -22.073309, -28.076706, -1.1343826, 0.99999994;
 -45.049381, -41.444805, -1.3221886, 1;
 -81.555908, -62.697556, -1.6207436, 1;
 137.99304, 65.199829, 0.17365752, 1;
 85.956009, 34.875385, -0.2512874, 1;
 184.56302, 92.298439, 0.553801, 1;
 63.614571, 21.850708, -0.43414626, 1;
 -75.567062, -59.216328, -1.568331, 1;
 99.921082, 42.999382, -0.13895299, 1;
 73.287033, 27.484699, -0.35582379, 1;
 -41.606068, -39.457504, -1.2900665, 1;
 -41.08239, -39.144703, -1.2849718, 1;
 -49.625053, -44.113728, -1.3537394, 1;
 -50.183029, -44.448936, -1.3579998, 1;
 -50.686211, -44.732101, -1.3615234, 1;
 268.27036, 141.07541, 1.2161666, 1;
 175.90268, 87.276726, 0.47017291, 1;
 136.58673, 64.366638, 0.15248907, 0.99999994;
 114.4327, 51.466026, -0.026859257, 1;
 139.3519, 65.978432, 0.17365399, 1;
 86.946266, 35.451855, -0.24909456, 1;
 79.824799, 31.300461, -0.30658615, 0.99999994;
 139.46112, 66.04232, 0.17395104, 1;
 118.55089, 53.866478, 0.0054426868, 0.99999994;
 114.15679, 51.305458, -0.03000154, 1;
 98.62381, 42.252373, -0.15529488, 1;
 81.142441, 32.068592, -0.2962352, 0.99999994;
 80.733955, 31.830465, -0.29953086, 1;
 79.543785, 31.136665, -0.30913308, 1;
 732.48438, 411.54379, 4.9519725, 1;
 318.77313, 170.50275, 1.6181487, 1;
 209.17609, 106.66761, 0.73525494, 1;
 185.03523, 92.583626, 0.54045415, 1;
 147.91763, 70.970398, 0.24152687, 1;
 145.95857, 69.828804, 0.22573748, 1;
 116.97709, 52.949341, -0.0077193961, 1;
 100.57077, 43.387207, -0.1399737, 1;
 80.844521, 31.894941, -0.29892206, 1;
 198.59239, 100.50055, 0.64907581, 1;
 192.83435, 97.145126, 0.6026963, 1;
 145.1044, 69.331306, 0.2182471, 1;
 335.41946, 180.20329, 1.7491649, 1;
 193.95958, 97.784119, 0.61066943, 1;
 103.93417, 45.347694, -0.11365498, 1;
 81.890587, 32.50478, -0.29106003, 1;
 316.83521, 169.37633, 1.5981388, 1;
 120.80299, 55.1796, 0.02167885, 1;
 103.65391, 45.184444, -0.11630354, 1;
 79.394569, 31.060745, -0.31140533, 1;
 105.83884, 46.458, -0.099124365, 1;
 208.9196, 106.52025, 0.72859538, 1;
 1676.4088, 961.36145, 12.506626, 1;
 -20.74127, -27.384653, -1.113099, 1;
 88.201889, 36.182575, -0.24749301, 1;
 -17.81492, -25.679789, -1.086756, 1;
