Features extracted and tracked: 67

[788, 90;
 1134, 164;
 991, 204;
 1009, 207;
 467, 228;
 999, 249;
 506, 252;
 513, 252;
 506, 254;
 1167, 327;
 1204, 328;
 1234, 329;
 1237, 330;
 553, 362;
 556, 362;
 538, 373;
 541, 373;
 858, 376;
 764, 407;
 657, 434;
 662, 434;
 698, 443;
 675, 456;
 662, 460;
 646, 470;
 693, 484;
 739, 512;
 744, 516;
 638, 522;
 563, 524;
 555, 535;
 546, 538;
 340, 542;
 524, 542;
 780, 542;
 547, 544;
 505, 546;
 335, 549;
 434, 556;
 577, 556;
 751, 563;
 581, 564;
 539, 577;
 736, 583;
 224, 584;
 611, 596;
 712, 601;
 505, 612;
 831, 616;
 1146, 621;
 471, 635;
 488, 640;
 492, 642;
 519, 643;
 596, 657;
 619, 662;
 619, 665;
 660, 668;
 653, 670;
 678, 673;
 955, 673;
 675, 674;
 689, 679;
 701, 682;
 704, 683;
 787, 696;
 810, 699]
