Features extracted and tracked: 309

[1164, 8;
 1165, 11;
 103, 12;
 100, 16;
 486, 19;
 104, 22;
 477, 26;
 1160, 28;
 101, 32;
 487, 35;
 1163, 38;
 104, 41;
 1161, 42;
 480, 45;
 476, 48;
 487, 48;
 478, 49;
 104, 63;
 621, 90;
 480, 92;
 1193, 92;
 104, 95;
 1157, 100;
 1195, 100;
 410, 108;
 1193, 113;
 108, 114;
 108, 116;
 1191, 122;
 1191, 126;
 969, 133;
 1191, 133;
 480, 139;
 1157, 144;
 79, 148;
 1155, 175;
 621, 177;
 290, 184;
 1130, 188;
 112, 189;
 111, 193;
 487, 202;
 114, 208;
 1185, 212;
 113, 216;
 1150, 218;
 1151, 223;
 115, 228;
 486, 234;
 1151, 240;
 116, 241;
 131, 244;
 117, 260;
 73, 277;
 77, 280;
 117, 286;
 962, 286;
 958, 302;
 481, 303;
 958, 305;
 958, 312;
 483, 328;
 119, 333;
 483, 340;
 956, 342;
 952, 343;
 123, 344;
 960, 345;
 1140, 351;
 122, 353;
 484, 354;
 81, 355;
 1142, 355;
 1173, 357;
 122, 363;
 955, 363;
 950, 364;
 959, 367;
 1138, 368;
 1139, 370;
 1173, 371;
 1139, 373;
 123, 374;
 1140, 375;
 123, 376;
 85, 380;
 1139, 391;
 411, 396;
 1169, 400;
 1169, 404;
 1168, 406;
 946, 411;
 1169, 420;
 491, 432;
 1166, 434;
 491, 440;
 877, 445;
 1134, 447;
 1134, 452;
 617, 453;
 1164, 453;
 147, 455;
 128, 457;
 574, 457;
 130, 461;
 420, 463;
 485, 474;
 1163, 481;
 1132, 486;
 128, 488;
 486, 492;
 492, 507;
 363, 510;
 398, 510;
 417, 511;
 420, 511;
 492, 511;
 132, 513;
 940, 514;
 321, 515;
 421, 515;
 302, 516;
 421, 517;
 876, 517;
 1000, 517;
 490, 520;
 799, 520;
 796, 521;
 744, 522;
 963, 522;
 773, 523;
 957, 523;
 999, 523;
 921, 524;
 960, 525;
 966, 525;
 921, 526;
 711, 527;
 730, 527;
 741, 527;
 569, 528;
 994, 528;
 698, 529;
 586, 530;
 655, 530;
 993, 531;
 303, 532;
 487, 532;
 489, 532;
 568, 532;
 578, 532;
 586, 533;
 608, 533;
 615, 533;
 967, 533;
 988, 533;
 669, 534;
 644, 535;
 484, 536;
 496, 536;
 519, 536;
 505, 537;
 514, 537;
 522, 537;
 989, 538;
 479, 539;
 481, 539;
 494, 539;
 506, 539;
 511, 539;
 490, 540;
 857, 540;
 483, 542;
 489, 542;
 475, 544;
 477, 544;
 475, 546;
 471, 547;
 780, 547;
 819, 547;
 738, 548;
 791, 548;
 991, 548;
 441, 549;
 671, 549;
 683, 549;
 424, 550;
 417, 552;
 424, 552;
 620, 552;
 595, 553;
 598, 554;
 675, 555;
 424, 557;
 480, 557;
 418, 558;
 420, 558;
 446, 558;
 387, 563;
 1154, 568;
 304, 569;
 304, 571;
 300, 580;
 552, 580;
 297, 582;
 548, 585;
 587, 587;
 1056, 587;
 294, 588;
 292, 589;
 1152, 589;
 295, 590;
 606, 590;
 292, 591;
 295, 592;
 1154, 592;
 295, 594;
 288, 597;
 293, 597;
 288, 599;
 290, 599;
 323, 602;
 654, 602;
 138, 608;
 551, 609;
 750, 613;
 1152, 613;
 618, 616;
 597, 618;
 1151, 619;
 137, 620;
 592, 620;
 585, 625;
 1150, 625;
 268, 626;
 433, 626;
 137, 629;
 1120, 630;
 137, 631;
 1126, 633;
 153, 635;
 1240, 635;
 1228, 636;
 1220, 637;
 1252, 637;
 1263, 637;
 1130, 638;
 1215, 638;
 1228, 638;
 1232, 638;
 1240, 639;
 401, 640;
 1149, 640;
 1192, 640;
 137, 641;
 1160, 641;
 140, 642;
 327, 642;
 1142, 642;
 1154, 643;
 1159, 643;
 1162, 643;
 1191, 643;
 141, 645;
 1151, 645;
 1149, 646;
 142, 647;
 536, 647;
 952, 648;
 484, 655;
 471, 657;
 645, 659;
 815, 659;
 467, 660;
 470, 660;
 474, 660;
 247, 661;
 1047, 662;
 856, 663;
 142, 666;
 608, 669;
 515, 670;
 1179, 671;
 533, 672;
 839, 672;
 611, 674;
 843, 674;
 620, 679;
 503, 682;
 789, 682;
 768, 683;
 657, 685;
 944, 687;
 537, 690;
 913, 691;
 507, 693;
 815, 694;
 762, 701;
 677, 702;
 1071, 707;
 699, 709;
 763, 709;
 923, 709;
 982, 711;
 496, 712;
 604, 712;
 645, 712;
 412, 714;
 460, 715]
