Features extracted and tracked: 58

[135, 57;
 765, 67;
 218, 68;
 746, 70;
 720, 76;
 708, 83;
 704, 84;
 1000, 87;
 665, 91;
 662, 92;
 522, 96;
 522, 99;
 539, 104;
 520, 108;
 520, 135;
 684, 191;
 1249, 193;
 740, 194;
 1259, 199;
 980, 304;
 995, 305;
 1009, 309;
 359, 367;
 1175, 417;
 1175, 419;
 1150, 423;
 639, 448;
 975, 471;
 283, 488;
 288, 490;
 1086, 498;
 1107, 502;
 131, 505;
 1108, 505;
 1110, 506;
 1132, 511;
 1149, 514;
 45, 515;
 1176, 518;
 1195, 528;
 1228, 534;
 1208, 535;
 1241, 537;
 1244, 537;
 374, 591;
 427, 591;
 1248, 615;
 181, 618;
 215, 640;
 327, 664;
 461, 666;
 326, 667;
 44, 668;
 880, 673;
 31, 680;
 343, 680;
 1194, 683;
 200, 715]
