Features extracted and tracked: 136

[984, 49;
 995, 51;
 941, 54;
 1041, 54;
 984, 59;
 1004, 63;
 847, 64;
 860, 64;
 864, 65;
 843, 66;
 1067, 68;
 1063, 69;
 851, 70;
 829, 71;
 812, 79;
 790, 81;
 110, 82;
 339, 83;
 117, 84;
 119, 84;
 342, 84;
 796, 85;
 305, 86;
 308, 86;
 764, 87;
 761, 88;
 767, 88;
 764, 89;
 379, 95;
 840, 119;
 928, 126;
 829, 186;
 831, 186;
 840, 190;
 825, 195;
 730, 199;
 788, 200;
 111, 243;
 152, 244;
 287, 244;
 308, 246;
 223, 247;
 323, 248;
 428, 248;
 520, 248;
 438, 250;
 512, 252;
 1092, 256;
 1217, 256;
 1220, 258;
 1179, 259;
 1093, 283;
 1050, 284;
 1060, 285;
 1092, 286;
 1038, 290;
 1154, 366;
 263, 378;
 287, 379;
 792, 392;
 753, 393;
 847, 394;
 1238, 394;
 966, 396;
 1275, 402;
 907, 406;
 1178, 407;
 330, 408;
 1077, 409;
 1091, 409;
 1100, 409;
 1071, 410;
 1065, 411;
 1105, 416;
 1104, 421;
 57, 422;
 49, 424;
 67, 424;
 748, 424;
 56, 426;
 687, 426;
 748, 426;
 671, 427;
 1022, 431;
 328, 434;
 386, 442;
 396, 443;
 1040, 443;
 1031, 444;
 1053, 445;
 308, 447;
 1047, 447;
 295, 448;
 1045, 448;
 1079, 450;
 1056, 451;
 1072, 451;
 221, 452;
 1076, 452;
 1081, 453;
 1075, 455;
 157, 456;
 1102, 456;
 73, 458;
 151, 459;
 1102, 459;
 1111, 459;
 1114, 465;
 54, 468;
 28, 469;
 1170, 476;
 1167, 478;
 1179, 479;
 1187, 481;
 1220, 492;
 1238, 495;
 1248, 497;
 1270, 500;
 878, 561;
 912, 564;
 15, 580;
 1104, 620;
 604, 622;
 408, 632;
 392, 637;
 288, 643;
 672, 662;
 937, 666;
 327, 667;
 397, 667;
 287, 672;
 456, 673;
 824, 681;
 254, 693;
 679, 700;
 288, 708]
